account,date,daily_pnl,num_trades,avg_trade_size_usd,avg_trade_size_tokens,avg_fee,win_rate,long_ratio,timestamp,value,sentiment,activity_segment,pnl_std,consistency_segment
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-04,160.127816,26,739.3319230769231,118941.15384615384,6.237669,0.7307692307692307,0.0,1741066200,15,Extreme Fear,Infrequent,4887.9739381524105,Inconsistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-01-05,0.0,3,159.0,0.08376666666666666,0.0,0.0,0.0,1672896600,29,Fear,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-08,0.0,1,0.74,16.4860535,0.0,0.0,0.0,1704691800,71,Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-12,13.566929,3,11.366666666666667,1111176.0166666666,0.00577068,0.6666666666666666,0.0,1705037400,71,Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-02-12,0.0,1,0.0,0.39853,0.0,0.0,0.0,1707715800,70,Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-08,0.0,1,0.65,2023.32184,0.0,0.0,0.0,1709875800,81,Extreme Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-04-08,0.0,1,0.01,875.4988657,0.0,0.0,0.0,1712554200,76,Extreme Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-05-09,0.0,1,0.84,10818.93703,0.0,0.0,0.0,1715232600,55,Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-06-08,215.754798,27,28.555555555555557,6147.454444444444,0.889599,0.2962962962962963,0.0,1717824600,72,Greed,Infrequent,67.88499177537582,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-08,0.0,11,0.0036363636363636364,0.20677364727272726,0.0,0.0,0.0,1720416600,28,Fear,Infrequent,67.88499177537582,Consistent
